movie_id,genre_id
0,0
0,1
0,2
1,0
1,3
2,0
2,4
2,3
3,0
3,4
3,5
3,6
4,0
4,7
4,1
5,0
5,7
5,3
6,0
6,1
7,0
7,5
7,6
8,0
8,8
8,3
9,0
9,9
9,10
10,0
10,8
10,5
10,11
11,0
11,12
11,13
12,0
12,7
12,1
12,10
13,0
13,3
14,0
14,1
14,2
14,14
15,0
15,1
15,15
16,0
16,16
17,0
17,1
18,0
18,1
18,2
19,0
19,1
20,0
20,6
20,3
21,8
21,12
21,11
22,0
22,5
22,6
22,3
23,0
23,1
23,9
23,10
24,0
25,0
25,3
26,0
26,5
26,6
26,3
27,0
27,1
28,8
28,6
28,11
29,0
29,8
30,0
30,17
30,10
31,0
31,1
31,14
32,0
32,1
33,0
33,16
34,0
34,1
34,8
35,4
35,8
36,0
36,1
37,0
37,7
37,1
38,0
38,1
38,2
39,0
39,1
39,14
40,0
40,18
41,0
41,19
42,0
42,3
43,0
43,7
43,3
44,0
44,3
45,0
45,16
45,18
45,10
46,0
46,3
47,0
47,7
47,1
48,0
48,1
48,13
49,0
49,6
50,0
50,1
51,0
51,8
51,5
51,6
52,0
52,7
52,1
53,0
53,1
54,0
54,5
55,0
55,1
55,10
56,0
56,5
56,6
57,0
58,5
58,6
58,20
59,0
59,14
59,13
59,11
60,0
61,0
61,1
61,13
62,0
62,5
62,3
63,0
63,1
63,10
64,0
64,7
64,1
65,0
65,3
65,13
66,0
66,5
67,12
67,13
67,11
68,0
68,3
69,0
69,5
70,0
70,5
70,6
71,0
71,7
72,0
72,4
72,18
72,9
72,10
73,0
73,7
73,12
73,11
74,0
74,4
74,8
74,6
74,3
75,0
75,4
75,1
75,21
75,22
76,0
76,7
76,12
77,0
77,4
77,13
77,11
78,0
78,1
79,0
80,0
80,5
80,6
81,0
81,7
81,1
81,19
82,0
82,4
82,5
82,6
82,3
83,0
83,4
83,5
83,6
84,0
84,5
84,6
84,3
85,20
86,0
87,0
87,13
87,11
88,0
88,1
89,0
89,14
89,9
90,0
90,1
90,17
91,0
91,10
92,0
93,4
93,6
93,3
94,7
94,1
94,13
94,22
95,0
95,18
95,11
96,0
96,6
96,3
97,0
97,7
97,14
98,0
99,0
99,14
100,0
101,0
101,3
102,0
102,7
103,0
103,3
104,0
104,4
104,11
105,0
105,3
106,0
106,7
106,1
107,0
107,19
108,0
108,1
108,16
109,0
109,5
109,6
110,0
110,14
110,18
111,0
112,0
112,3
113,0
113,1
113,19
113,18
114,0
114,6
115,0
115,1
116,0
116,7
116,1
117,0
117,5
117,6
118,0
118,14
118,11
119,0
119,1
119,17
120,0
120,14
121,0
121,8
121,11
122,0
122,4
122,13
122,11
123,0
123,7
123,11
124,0
124,1
124,16
125,0
125,1
126,0
126,18
126,9
127,7
127,1
127,19
128,0
129,8
129,6
130,4
130,8
130,11
131,0
131,1
131,5
131,10
132,0
132,3
133,0
133,7
133,1
133,2
133,14
134,0
134,1
134,8
134,12
135,0
135,10
136,12
136,13
136,11
137,0
137,1
138,0
138,1
139,0
139,1
139,2
140,0
140,18
140,11
141,0
141,7
141,4
141,23
142,0
142,8
143,0
143,7
144,0
144,3
145,0
145,7
145,10
146,0
146,16
146,18
146,9
147,0
147,1
147,12
148,5
148,6
148,20
149,0
149,1
150,4
150,6
150,3
151,0
151,1
151,2
152,5
152,6
153,0
153,18
154,0
154,6
154,3
155,0
155,10
155,13
156,0
157,0
157,1
157,13
158,0
158,1
158,21
159,0
159,6
159,3
160,4
160,6
160,3
161,0
161,6
162,0
162,7
162,1
163,0
163,24
163,11
164,0
164,1
164,13
165,0
165,1
166,0
166,7
166,1
167,0
167,18
167,9
168,0
168,19
168,14
168,24
169,0
169,2
169,16
170,0
170,14
170,24
171,0
171,7
172,0
172,1
172,8
173,0
173,4
173,3
174,0
174,1
174,3
175,0
175,12
175,10
176,0
176,1
176,5
177,5
177,6
177,3
178,0
178,1
178,17
178,18
179,0
179,1
179,16
180,0
180,1
180,3
181,1
181,5
181,6
182,12
182,13
182,11
183,0
183,1
183,13
184,0
184,1
185,0
185,1
185,2
186,8
186,12
186,5
186,6
187,12
187,13
187,11
188,0
188,8
189,0
189,9
190,0
191,0
191,10
192,0
192,2
193,0
194,0
194,8
195,0
196,0
196,7
196,1
197,0
197,7
197,16
198,7
198,1
198,13
198,22
199,0
200,0
200,9
201,8
